,Number of Certified Beds,Number of Residents in Certified Beds,Total Weighted Health Survey Score,Adjusted Total Nurse Staffing Hours per Resident per Day,Number of Facility Reported Incidents,Number of Substantiated Complaints,Total Number of Penalties,clusters,cluster
0,124,102,22.667,3.81554,0,1,1,2,light purple
1,183,168,48.667,3.28225,0,3,1,1,v.light purple
2,77,77,15.333,3.72376,0,0,0,0,pink
3,107,96,25.333,5.53756,0,3,1,2,light purple
4,88,81,13.333,5.14766,0,0,0,2,light purple
5,114,111,32.667,3.83348,0,0,0,2,light purple
6,159,123,52.0,3.7966,0,1,0,1,v.light purple
7,110,96,14.667,3.9393,0,0,0,2,light purple
8,100,79,5.333,6.35714,0,0,0,2,light purple
9,116,102,23.333,5.39526,0,1,0,2,light purple
10,170,113,44.667,4.26429,0,2,1,1,v.light purple
11,234,218,30.0,7.63312,0,1,0,1,v.light purple
12,120,112,32.667,2.95974,0,0,0,2,light purple
13,120,91,17.333,3.05521,0,0,0,2,light purple
14,159,150,40.667,5.60321,0,2,1,1,v.light purple
15,79,69,19.333,4.13761,0,0,0,0,pink
16,144,95,263.0,4.39365,0,0,2,5,v.dark purple
17,75,74,10.667,5.21201,0,0,0,0,pink
18,68,62,11.333,4.35531,0,1,0,0,pink
19,91,79,8.667,4.46214,0,0,0,2,light purple
20,172,155,34.667,3.22424,0,1,0,1,v.light purple
21,91,81,15.333,4.55277,0,0,1,2,light purple
22,168,164,23.333,4.03778,0,5,0,1,v.light purple
23,94,78,72.667,3.46329,0,4,1,2,light purple
24,91,81,10.667,4.65311,0,0,0,2,light purple
25,225,161,36.667,5.65444,0,0,0,1,v.light purple
26,118,104,18.0,4.22069,0,0,0,2,light purple
27,68,67,44.667,3.72106,0,4,0,0,pink
28,138,133,38.0,4.5592,0,1,0,2,light purple
29,131,116,63.333,4.04882,0,0,0,2,light purple
30,95,74,35.333,6.16049,0,1,0,2,light purple
31,90,75,17.333,3.09673,0,0,0,2,light purple
32,84,79,36.667,4.65283,0,1,0,2,light purple
33,34,34,33.167,4.67839,0,0,1,0,pink
34,154,128,12.0,5.28265,0,0,0,1,v.light purple
35,83,52,29.333,2.89928,0,6,0,0,pink
36,59,51,14.0,4.37223,0,0,0,0,pink
37,15,14,133.0,6.97733,0,0,2,0,pink
38,54,52,20.667,3.34995,0,0,0,0,pink
39,18,15,239.5,5.39087,0,1,2,5,v.dark purple
40,79,65,613.167,5.8436,13,8,4,3,purple
41,60,58,90.0,4.18224,0,0,0,0,pink
42,105,51,24.0,5.22246,0,4,0,2,light purple
43,85,73,14.667,3.87406,0,6,0,2,light purple
44,84,67,27.0,3.8844,0,0,0,0,pink
45,105,71,38.0,3.9184,1,0,2,2,light purple
46,86,68,17.333,3.93189,0,0,0,0,pink
47,70,53,94.333,4.09008,1,0,1,0,pink
48,86,64,16.0,4.43937,0,0,0,0,pink
49,110,103,46.0,4.21537,0,3,0,2,light purple
50,80,72,33.333,5.31118,0,1,0,0,pink
51,140,118,19.333,3.46985,0,1,0,2,light purple
52,290,248,28.0,9.10865,0,3,0,4,dark purple
53,62,50,50.0,4.8643,1,0,0,0,pink
54,391,349,123.667,4.29719,3,3,0,4,dark purple
55,162,145,100.667,4.74226,3,0,0,1,v.light purple
56,52,36,32.0,6.42519,6,0,0,0,pink
57,99,69,203.167,4.66042,23,4,3,5,v.dark purple
58,167,150,33.333,4.15599,65,1,0,1,v.light purple
59,33,31,63.333,5.37489,0,0,0,0,pink
60,201,46,42.0,2.56078,4,1,0,2,light purple
61,108,105,10.667,4.83102,0,0,0,2,light purple
62,120,111,12.667,4.43536,0,2,0,2,light purple
63,135,127,102.667,3.79026,0,19,1,2,light purple
64,45,29,38.0,3.89541,0,0,0,0,pink
65,45,37,48.667,3.65095,0,4,0,0,pink
66,120,108,51.333,4.15547,0,8,0,2,light purple
67,89,65,80.667,4.98247,1,4,0,2,light purple
68,120,99,22.0,3.31322,3,5,3,2,light purple
69,104,102,31.333,4.40445,3,0,0,2,light purple
70,153,138,26.667,4.21764,2,4,0,1,v.light purple
71,120,117,189.833,4.40448,6,1,4,5,v.dark purple
72,60,47,32.333,3.47251,0,5,1,0,pink
73,80,45,2.667,4.91048,0,0,0,0,pink
74,60,46,34.0,4.056,0,3,0,0,pink
75,97,88,2.0,4.03166,0,0,0,2,light purple
76,30,21,18.0,5.53067,0,0,0,0,pink
77,120,114,46.667,3.84367,0,7,0,2,light purple
78,60,45,32.667,5.9544,0,0,0,0,pink
79,120,115,21.333,5.92281,0,0,0,2,light purple
80,120,97,34.667,4.55443,0,0,0,2,light purple
81,68,63,14.667,4.39595,0,2,0,0,pink
82,40,35,24.667,5.38763,0,0,0,0,pink
83,127,84,21.333,3.75158,0,6,0,2,light purple
84,246,231,16.667,3.4495,0,1,0,1,v.light purple
85,100,83,6.667,3.50768,0,3,0,2,light purple
86,72,67,4.0,3.48784,0,0,0,0,pink
87,64,59,10.667,3.50742,0,0,0,0,pink
88,110,108,63.333,2.53016,0,5,1,2,light purple
89,87,85,11.333,4.37181,0,0,0,2,light purple
90,101,75,16.667,3.11501,0,0,0,2,light purple
91,106,50,16.667,4.17611,0,2,0,2,light purple
92,133,129,23.333,4.34927,0,1,3,2,light purple
93,64,45,33.333,4.03813,0,1,2,0,pink
94,75,59,6.0,4.46516,0,0,0,0,pink
95,110,93,26.667,3.97254,0,0,0,2,light purple
96,20,20,24.667,6.20268,0,0,0,0,pink
97,24,23,34.667,8.36064,0,0,0,0,pink
98,66,59,36.0,5.47986,0,0,2,0,pink
99,44,37,34.667,4.4079,0,0,0,0,pink
100,120,107,34.667,3.31211,0,0,0,2,light purple
101,94,85,31.333,3.30554,0,0,0,2,light purple
102,120,88,28.667,3.62597,0,0,0,2,light purple
103,30,27,96.0,4.59315,0,5,4,0,pink
104,145,114,68.5,3.35632,3,27,1,2,light purple
105,112,87,76.667,3.36595,2,6,0,2,light purple
106,99,64,91.333,3.33932,0,13,0,2,light purple
107,294,187,172.0,2.78111,2,62,1,1,v.light purple
108,92,70,14.0,2.90473,0,3,0,2,light purple
109,30,18,11.333,6.31334,0,0,0,0,pink
110,120,91,54.667,3.02486,1,6,0,2,light purple
111,28,14,43.333,4.63128,0,0,0,0,pink
112,116,95,106.667,3.84677,0,16,2,5,v.dark purple
113,120,115,238.0,2.83569,3,32,2,5,v.dark purple
114,140,119,28.667,3.69898,0,4,0,2,light purple
115,265,197,62.0,4.42682,0,34,0,1,v.light purple
116,193,143,76.0,4.05875,1,24,1,1,v.light purple
117,297,208,127.667,3.20978,2,57,3,1,v.light purple
118,99,66,22.0,3.46335,0,5,0,2,light purple
119,200,161,30.0,3.13602,0,3,0,1,v.light purple
120,80,35,20.667,3.84969,1,3,0,0,pink
121,112,96,16.0,6.55983,0,0,0,2,light purple
122,108,46,56.5,3.70991,0,5,1,2,light purple
123,87,57,25.333,3.48946,3,9,0,0,pink
124,198,165,98.667,3.91516,2,20,1,1,v.light purple
125,91,85,78.667,1.92438,0,24,0,2,light purple
126,118,84,44.667,3.32463,0,2,0,2,light purple
127,47,23,136.0,4.33572,0,21,0,5,v.dark purple
128,122,97,55.833,4.09363,7,8,1,2,light purple
129,50,47,18.0,3.52776,0,0,0,0,pink
130,35,28,26.667,3.93701,0,0,0,0,pink
131,55,47,0.0,3.53288,0,0,0,0,pink
132,49,43,46.0,4.01935,2,6,0,0,pink
133,43,39,18.667,4.39864,0,2,0,0,pink
134,138,136,31.333,1.84498,0,9,0,2,light purple
135,120,104,86.0,4.33184,0,12,1,2,light purple
136,65,64,87.0,1.98229,2,10,0,0,pink
137,82,51,32.667,3.59977,0,0,0,0,pink
138,96,59,42.0,2.87891,0,4,0,2,light purple
139,79,74,52.0,2.38079,0,5,0,0,pink
140,114,66,41.333,3.70728,0,10,1,2,light purple
141,120,68,58.667,3.89861,0,17,1,2,light purple
142,66,46,31.333,5.7711,0,2,0,0,pink
143,60,57,28.667,4.02501,0,4,0,0,pink
144,45,41,12.0,4.95349,0,0,0,0,pink
145,99,89,30.667,5.06475,0,7,0,2,light purple
146,68,66,23.333,4.96281,1,0,0,0,pink
147,90,81,50.667,4.11288,11,6,1,2,light purple
148,88,63,111.667,3.73959,8,10,2,5,v.dark purple
149,57,39,19.333,3.10411,1,0,0,0,pink
150,60,52,30.0,3.71369,3,0,0,0,pink
151,56,45,21.333,4.04569,0,1,0,0,pink
152,49,34,12.667,3.29616,0,0,0,0,pink
153,90,88,5.333,2.77738,0,0,0,2,light purple
154,46,40,15.333,2.82538,1,1,0,0,pink
155,196,168,88.333,3.46824,8,24,2,1,v.light purple
156,40,34,62.0,3.07482,1,5,1,0,pink
157,45,36,20.0,3.73336,0,5,0,0,pink
158,65,44,45.167,4.03581,1,3,2,0,pink
159,84,66,14.0,4.15047,1,0,0,0,pink
160,65,47,87.833,5.26727,1,0,2,0,pink
161,60,27,102.5,2.00754,3,6,2,0,pink
162,60,38,24.0,4.80864,0,0,0,0,pink
163,60,54,46.667,4.03163,2,0,0,0,pink
164,60,53,24.0,4.71173,0,0,0,0,pink
165,46,45,10.0,2.89388,2,0,0,0,pink
166,71,51,10.0,4.74445,0,0,0,0,pink
167,121,101,58.333,4.67662,7,0,1,2,light purple
168,59,59,16.667,4.68365,1,0,0,0,pink
169,64,64,36.5,4.13283,1,2,0,0,pink
170,77,73,4.0,3.88834,0,0,0,0,pink
171,20,20,14.0,4.17357,1,0,0,0,pink
172,57,41,43.333,5.82886,5,2,0,0,pink
173,45,36,46.667,4.92051,0,0,0,0,pink
174,32,26,19.333,6.04379,0,0,0,0,pink
175,40,35,1.333,3.58178,0,0,0,0,pink
176,45,40,114.333,4.26118,0,1,1,0,pink
177,14,13,48.0,2.24176,0,0,0,0,pink
178,72,70,91.333,3.75605,5,0,4,0,pink
179,163,151,51.833,3.68161,2,9,1,1,v.light purple
180,120,117,89.333,6.03388,0,2,0,2,light purple
181,180,116,35.333,5.46708,5,0,2,1,v.light purple
182,120,78,124.667,3.3957,2,9,2,5,v.dark purple
183,74,58,161.5,3.0769,3,0,2,5,v.dark purple
184,71,59,75.333,3.61025,0,0,0,0,pink
185,58,46,57.333,3.23678,2,20,0,0,pink
186,50,41,56.0,3.14938,0,3,0,0,pink
187,58,54,21.333,3.01013,1,4,0,0,pink
188,61,53,66.0,4.63222,5,2,0,0,pink
189,145,115,194.333,3.61908,1,28,2,5,v.dark purple
190,59,41,171.167,3.2945,9,4,0,5,v.dark purple
191,110,66,257.333,3.82453,14,9,4,5,v.dark purple
192,76,49,28.0,3.38863,0,0,0,0,pink
193,147,128,50.0,3.96248,0,0,0,2,light purple
194,42,32,50.667,4.47155,1,1,0,0,pink
195,60,55,41.333,3.92542,1,2,0,0,pink
196,75,57,12.667,4.26533,0,0,0,0,pink
197,45,43,234.833,2.37995,2,4,2,5,v.dark purple
198,42,33,79.333,5.0338,0,1,0,0,pink
199,70,69,139.167,3.69123,7,11,2,5,v.dark purple
200,59,52,195.833,3.80121,4,9,4,5,v.dark purple
201,60,43,185.167,3.59696,6,15,2,5,v.dark purple
202,105,69,243.667,3.50218,2,5,2,5,v.dark purple
203,50,44,188.667,3.35253,3,7,0,5,v.dark purple
204,62,55,192.667,5.92682,2,4,3,5,v.dark purple
205,40,29,68.0,3.91787,2,0,0,0,pink
206,120,68,113.333,4.06079,7,6,0,5,v.dark purple
207,154,105,102.0,5.71378,2,8,3,2,light purple
208,117,43,50.0,5.53357,3,1,0,2,light purple
209,79,78,74.667,2.58848,2,5,0,2,light purple
210,67,42,73.667,4.60213,5,0,0,0,pink
211,46,40,20.0,5.44917,0,2,0,0,pink
212,33,23,58.0,4.32528,0,0,0,0,pink
213,42,42,51.333,4.66387,0,0,0,0,pink
214,226,138,60.667,3.65067,0,4,0,1,v.light purple
215,160,158,245.667,4.15408,1,1,1,5,v.dark purple
216,118,112,5.333,4.7628,0,0,0,2,light purple
217,112,88,37.333,3.55487,1,1,0,2,light purple
218,92,91,11.333,3.47484,1,0,0,2,light purple
219,121,104,48.667,3.15118,1,3,0,2,light purple
220,100,74,22.0,3.88515,0,0,0,2,light purple
221,104,93,29.333,3.35406,0,0,0,2,light purple
222,100,96,8.0,3.48148,0,0,0,2,light purple
223,144,111,26.0,4.72993,2,0,2,2,light purple
224,106,87,48.0,2.9164,0,3,0,2,light purple
225,94,87,9.333,3.5322,1,3,0,2,light purple
226,95,89,32.667,3.65305,1,1,0,2,light purple
227,145,128,40.667,3.17512,0,2,0,2,light purple
228,60,48,16.667,3.62531,0,0,0,0,pink
229,70,59,78.667,3.23356,0,3,2,0,pink
230,100,91,42.0,3.21233,0,0,0,2,light purple
231,297,146,39.333,5.47442,0,3,0,1,v.light purple
232,14,12,49.333,3.89942,0,3,1,0,pink
233,110,98,30.0,3.90483,0,7,0,2,light purple
234,38,32,7.333,7.10169,0,3,0,0,pink
235,200,164,21.333,3.33608,0,5,0,1,v.light purple
236,120,112,56.833,3.36995,0,4,1,2,light purple
237,128,125,6.0,3.70911,0,0,0,2,light purple
238,120,62,36.667,4.12859,0,4,0,2,light purple
239,148,111,32.0,3.78826,0,5,0,2,light purple
240,116,73,42.667,3.12354,0,1,1,2,light purple
241,202,123,18.667,3.73811,0,0,0,1,v.light purple
242,116,69,20.667,4.14452,0,2,1,2,light purple
243,102,67,263.667,3.08979,1,9,1,5,v.dark purple
244,200,128,76.667,3.5869,0,9,2,1,v.light purple
245,128,116,9.333,3.98114,0,1,0,2,light purple
246,188,69,20.667,3.35537,0,1,0,2,light purple
247,109,102,15.333,3.21734,0,2,0,2,light purple
248,78,70,21.333,3.28317,2,5,0,0,pink
249,134,83,10.667,2.87868,0,2,0,2,light purple
250,120,79,36.667,3.35137,0,1,0,2,light purple
251,98,82,10.667,3.5586,0,5,0,2,light purple
252,160,126,30.0,3.18741,0,2,0,1,v.light purple
253,149,57,35.333,3.55602,0,1,0,2,light purple
254,130,97,74.0,4.54524,0,2,2,2,light purple
255,120,109,28.667,4.03646,0,0,1,2,light purple
256,145,105,48.0,3.78781,0,5,0,2,light purple
257,150,68,60.333,5.04245,0,0,1,2,light purple
258,152,102,24.0,3.33723,0,5,0,2,light purple
259,160,107,17.333,3.46373,0,1,0,2,light purple
260,130,123,46.0,3.84022,0,4,0,2,light purple
261,103,65,20.667,3.99504,0,1,0,2,light purple
262,80,73,28.0,3.14406,0,0,0,0,pink
263,126,78,16.0,4.00062,0,0,0,2,light purple
264,134,44,50.0,4.09743,0,0,0,2,light purple
265,108,85,45.0,3.97388,0,2,0,2,light purple
266,145,117,4.0,2.92376,0,0,0,2,light purple
267,64,63,5.333,3.43122,0,5,0,0,pink
268,120,53,24.667,5.31169,0,0,0,2,light purple
269,150,83,24.667,3.75711,0,4,0,2,light purple
270,112,107,18.667,5.03044,0,4,0,2,light purple
271,108,125,28.667,3.02604,0,4,0,2,light purple
272,200,81,20.667,3.67506,0,2,0,1,v.light purple
273,130,81,88.667,3.29474,0,7,0,2,light purple
274,130,126,50.0,3.98592,2,1,0,2,light purple
275,100,68,26.667,3.936,0,1,0,2,light purple
276,130,86,4.0,3.20929,0,0,0,2,light purple
277,128,112,28.0,3.79503,0,1,0,2,light purple
278,157,125,32.0,3.53307,0,9,2,1,v.light purple
279,175,160,22.0,3.53175,0,2,0,1,v.light purple
280,104,70,9.333,3.79487,0,0,0,2,light purple
281,108,64,40.0,3.47349,0,1,0,2,light purple
282,125,109,67.333,3.1773,0,0,0,2,light purple
283,92,74,16.0,3.64619,0,0,0,2,light purple
284,128,126,56.0,4.16579,2,3,2,2,light purple
285,79,41,23.333,4.68372,0,0,0,0,pink
286,104,66,20.667,2.91252,0,0,0,2,light purple
287,120,113,10.0,3.08625,0,1,0,2,light purple
288,72,52,26.0,5.02273,4,0,0,0,pink
289,49,43,0.0,4.90309,0,0,0,0,pink
290,40,39,26.667,3.92856,0,1,1,0,pink
291,38,29,4.0,4.13245,0,0,0,0,pink
292,99,98,44.667,4.00655,7,0,0,2,light purple
293,23,20,22.0,5.67556,0,0,0,0,pink
294,26,26,3.333,3.79531,0,0,0,0,pink
295,28,23,12.0,4.77947,1,0,0,0,pink
296,46,34,16.667,4.1629,0,0,0,0,pink
297,45,45,28.333,4.39531,2,2,0,0,pink
298,172,119,75.333,3.98689,3,15,0,1,v.light purple
299,242,222,147.667,4.08038,9,21,0,1,v.light purple
300,135,131,111.0,2.64131,9,9,1,5,v.dark purple
301,210,196,88.667,5.24855,14,4,0,1,v.light purple
302,100,75,15.333,5.5457,0,0,0,2,light purple
303,122,114,122.0,3.35727,1,1,0,5,v.dark purple
304,80,43,31.333,8.52545,9,1,0,0,pink
305,103,90,99.333,4.53612,13,14,0,2,light purple
306,73,68,108.0,3.81849,6,3,1,5,v.dark purple
307,177,167,75.333,3.50533,8,2,1,1,v.light purple
308,150,135,66.5,3.43585,6,7,0,1,v.light purple
309,118,110,164.667,2.04919,12,12,0,5,v.dark purple
310,260,244,52.0,3.68824,8,29,0,1,v.light purple
311,157,118,265.833,3.88278,30,37,3,5,v.dark purple
312,129,115,69.333,3.42002,2,21,1,2,light purple
313,180,164,88.0,3.58845,2,34,0,1,v.light purple
314,180,129,21.333,3.5796,3,2,0,1,v.light purple
315,158,141,6.0,3.48912,0,3,0,1,v.light purple
316,125,107,57.333,3.78371,5,4,0,2,light purple
317,135,110,58.667,3.63047,4,3,0,2,light purple
318,130,126,93.333,4.14001,0,0,0,2,light purple
319,44,34,19.333,5.3724,3,2,0,0,pink
320,156,152,40.667,2.93733,2,2,0,1,v.light purple
321,144,132,11.333,3.7024,0,0,0,2,light purple
322,200,187,36.667,3.77324,12,2,0,1,v.light purple
323,105,92,85.333,3.9031,4,8,0,2,light purple
324,66,55,5.333,5.53291,0,0,0,0,pink
325,98,94,52.0,3.43687,1,1,0,2,light purple
326,196,173,62.667,3.8319,8,5,0,1,v.light purple
327,63,56,56.0,3.31877,20,6,0,0,pink
328,174,157,12.0,4.25025,1,0,0,1,v.light purple
329,200,192,30.0,3.93749,1,14,0,1,v.light purple
330,117,117,24.667,3.79894,6,3,0,2,light purple
331,153,142,26.667,2.99505,1,0,0,1,v.light purple
332,108,65,27.333,4.22349,0,1,0,2,light purple
333,96,92,178.5,3.02279,11,8,1,5,v.dark purple
334,92,76,56.0,2.81961,5,2,0,2,light purple
335,130,122,28.0,4.02005,0,3,0,2,light purple
336,120,114,140.0,3.32925,4,8,1,5,v.dark purple
337,98,79,35.333,3.36658,2,0,0,2,light purple
338,177,147,78.167,3.77923,7,16,0,1,v.light purple
339,87,73,23.333,3.83609,6,8,0,2,light purple
340,35,19,28.667,8.98709,0,0,0,0,pink
341,32,32,4.667,5.42936,0,0,0,0,pink
342,18,14,4.0,4.62889,0,0,0,0,pink
343,105,101,58.0,3.42399,11,9,0,2,light purple
344,29,28,21.333,5.94674,0,0,0,0,pink
345,130,115,45.333,3.2595,2,4,0,2,light purple
346,106,94,118.667,3.98997,1,5,0,5,v.dark purple
347,62,58,34.0,4.13242,14,4,0,0,pink
348,29,27,47.333,2.75569,5,1,0,0,pink
349,106,104,32.0,3.53592,1,1,1,2,light purple
350,81,76,2.0,4.33546,0,0,0,0,pink
351,205,142,20.0,4.26057,1,1,2,1,v.light purple
352,204,176,18.0,3.87381,0,0,0,1,v.light purple
353,108,38,16.0,4.03124,0,0,0,0,pink
354,155,126,18.0,3.62665,0,0,0,1,v.light purple
355,110,104,10.667,3.64341,1,0,0,2,light purple
356,160,112,44.667,3.83675,0,1,1,2,light purple
357,159,135,86.0,3.68262,2,5,3,1,v.light purple
358,85,81,16.0,2.7396,0,1,1,2,light purple
359,180,125,42.667,4.65083,0,0,1,1,v.light purple
360,100,71,36.667,4.02194,1,1,1,2,light purple
361,211,136,1.333,3.56177,0,0,0,1,v.light purple
362,123,104,52.667,3.74725,2,1,0,2,light purple
363,128,99,26.667,4.03589,1,1,1,2,light purple
364,88,75,30.0,4.043,0,2,2,2,light purple
365,112,93,1.333,4.60872,0,0,0,2,light purple
366,149,119,60.333,3.7379,1,1,4,2,light purple
367,154,147,32.667,4.62925,2,2,1,1,v.light purple
368,109,89,13.333,5.77779,0,0,0,2,light purple
369,96,87,26.0,4.03163,0,0,1,2,light purple
370,68,60,33.333,4.31158,0,0,0,0,pink
371,90,83,8.667,3.29422,1,0,1,2,light purple
372,80,74,38.0,3.94451,2,7,0,0,pink
373,99,96,27.333,3.70815,0,0,1,2,light purple
374,164,148,42.0,3.60502,2,0,1,1,v.light purple
375,36,36,8.0,5.59165,0,0,0,0,pink
376,31,23,35.333,5.95464,0,0,1,0,pink
377,86,57,4.667,5.18598,1,0,0,0,pink
378,19,19,29.333,4.45154,0,0,2,0,pink
379,102,75,2.0,4.10805,0,0,0,2,light purple
380,41,36,10.667,2.34885,0,0,0,0,pink
381,101,90,82.333,4.07352,1,1,1,2,light purple
382,154,138,15.333,3.94122,1,2,0,1,v.light purple
383,154,137,46.0,3.7027,3,0,1,1,v.light purple
384,45,32,8.667,4.28289,0,0,0,0,pink
385,154,146,3.333,3.33538,1,0,0,1,v.light purple
386,20,15,2.0,6.74507,0,0,0,0,pink
387,104,98,8.667,4.52091,1,0,0,2,light purple
388,74,69,12.667,4.1272,0,0,1,0,pink
389,78,74,26.0,4.13667,0,0,0,0,pink
390,45,41,16.0,2.49507,0,0,1,0,pink
391,62,53,51.833,5.73971,1,0,0,0,pink
392,141,127,77.333,3.98458,5,4,2,2,light purple
393,170,159,119.667,5.01639,2,7,2,1,v.light purple
394,159,102,52.667,3.61469,1,20,0,2,light purple
395,132,128,28.0,4.01791,4,1,0,2,light purple
396,101,85,87.667,4.19403,0,4,2,2,light purple
397,223,201,40.0,3.59441,1,1,0,1,v.light purple
398,114,63,61.333,3.63284,2,3,0,2,light purple
399,195,160,119.333,3.54062,11,31,3,1,v.light purple
400,39,27,37.333,4.54449,3,0,0,0,pink
401,145,139,35.5,4.68338,3,0,1,1,v.light purple
402,84,78,79.333,4.50022,18,2,0,2,light purple
403,91,81,17.333,3.90634,0,0,0,2,light purple
404,139,121,75.167,4.3778,3,1,2,2,light purple
405,64,60,57.5,4.85778,1,2,2,0,pink
406,51,50,28.0,4.79485,5,0,2,0,pink
407,102,73,29.333,4.4636,1,0,0,2,light purple
408,169,148,87.333,3.42615,1,14,1,1,v.light purple
409,96,57,48.667,4.19076,5,12,0,2,light purple
410,180,148,48.667,4.23947,3,4,1,1,v.light purple
411,118,71,242.167,3.48755,10,4,3,5,v.dark purple
412,113,80,94.0,3.28088,12,5,2,2,light purple
413,61,60,30.667,3.16746,0,3,1,0,pink
414,135,117,44.667,3.76861,2,11,0,2,light purple
415,55,45,81.0,4.58353,5,1,1,0,pink
416,39,39,23.333,4.14105,0,0,0,0,pink
417,60,55,10.667,3.62651,0,0,0,0,pink
418,72,62,82.0,3.209,10,11,2,0,pink
419,25,20,32.667,4.70768,2,0,0,0,pink
420,91,80,74.0,4.40746,1,11,1,2,light purple
421,121,116,112.0,3.77728,7,19,1,5,v.dark purple
422,160,134,49.333,2.87872,2,5,0,1,v.light purple
423,66,62,47.333,3.66547,0,5,0,0,pink
424,35,31,24.667,3.86918,0,0,0,0,pink
425,139,109,292.833,4.1787,2,5,4,5,v.dark purple
426,50,43,10.0,4.93742,0,0,0,0,pink
427,48,46,52.833,4.21455,0,0,1,0,pink
428,70,65,40.667,4.74508,1,1,0,0,pink
429,56,46,70.333,3.2667,0,0,0,0,pink
430,138,135,42.0,4.12873,0,0,0,2,light purple
431,138,111,68.0,3.77594,1,1,0,2,light purple
432,141,97,93.0,7.51746,0,2,1,2,light purple
433,36,23,29.333,4.04224,0,0,0,0,pink
434,79,67,55.667,4.80817,0,6,0,0,pink
435,195,188,49.667,4.28811,0,0,0,1,v.light purple
436,63,46,37.0,3.66432,0,1,0,0,pink
437,90,86,4.667,3.37989,0,0,0,2,light purple
438,56,48,101.333,3.46412,0,2,3,0,pink
439,65,47,34.667,3.88029,0,1,0,0,pink
440,45,37,30.0,4.31525,1,0,0,0,pink
441,44,41,36.667,3.49647,0,3,0,0,pink
442,60,55,38.667,4.27428,0,0,1,0,pink
443,60,52,14.667,3.5966,0,2,0,0,pink
444,60,56,18.667,3.81884,0,0,0,0,pink
445,80,59,28.0,6.65518,0,1,0,0,pink
446,60,48,26.667,2.57171,1,0,0,0,pink
447,60,56,20.0,4.0073,0,1,0,0,pink
448,121,112,18.667,3.44916,1,0,0,2,light purple
449,60,52,28.0,4.31913,0,0,0,0,pink
450,60,58,26.0,7.7982,0,0,0,0,pink
451,80,75,8.0,4.42407,0,0,0,0,pink
452,86,74,31.333,5.68442,1,0,0,2,light purple
453,321,265,24.667,3.72219,3,2,0,4,dark purple
454,109,105,37.333,3.93718,0,1,0,2,light purple
455,127,107,24.667,3.77457,0,2,0,2,light purple
456,118,77,103.0,3.34339,2,9,1,5,v.dark purple
457,60,37,28.0,4.27347,0,0,0,0,pink
458,116,98,47.333,3.09158,1,3,0,2,light purple
459,90,63,33.333,3.48662,0,0,0,0,pink
460,99,82,76.0,4.03507,1,0,0,2,light purple
461,110,89,16.0,3.61201,0,6,0,2,light purple
462,120,63,46.667,4.59424,0,8,0,2,light purple
463,60,32,24.667,5.13589,0,0,0,0,pink
464,96,45,38.0,5.6929,1,2,0,0,pink
465,84,77,40.667,5.42921,1,1,0,2,light purple
466,75,58,28.667,4.67522,0,0,0,0,pink
467,120,91,48.667,4.39808,0,1,0,2,light purple
468,300,288,126.167,4.36347,0,3,2,4,dark purple
469,60,40,81.333,4.82204,1,1,0,0,pink
470,56,55,25.333,3.23128,0,1,0,0,pink
471,120,105,4.667,4.91561,0,0,0,2,light purple
472,125,61,36.333,5.33375,0,2,1,2,light purple
473,70,50,50.667,3.84176,0,2,0,0,pink
474,53,29,562.333,5.18356,0,5,1,3,purple
475,83,63,84.667,3.53772,0,0,0,0,pink
476,20,13,14.0,7.59418,0,0,0,0,pink
477,32,31,6.667,4.498,0,0,0,0,pink
478,102,80,22.667,5.63439,0,1,0,2,light purple
479,175,117,34.0,3.81069,3,13,0,1,v.light purple
480,35,31,48.667,3.82027,2,0,0,0,pink
481,86,66,20.0,4.05675,0,0,0,0,pink
482,97,72,69.333,3.19217,11,9,2,2,light purple
483,60,48,50.667,4.06598,1,2,0,0,pink
484,62,35,38.0,3.769,0,3,0,0,pink
485,63,52,64.5,3.57318,0,2,1,0,pink
486,54,44,26.0,4.3117,0,1,0,0,pink
487,39,27,13.333,4.90098,0,2,0,0,pink
488,100,88,8.0,4.4717,0,2,0,2,light purple
489,39,37,12.0,4.82502,0,0,1,0,pink
490,64,38,34.667,4.21723,0,6,0,0,pink
491,24,23,77.333,4.69067,0,2,0,0,pink
492,198,134,24.0,3.59165,0,0,0,1,v.light purple
493,60,43,58.667,3.68621,0,1,0,0,pink
494,130,114,6.667,5.15678,0,0,0,2,light purple
495,64,40,12.0,4.41331,0,7,0,0,pink
496,113,94,5.333,3.98044,0,6,0,2,light purple
497,127,101,20.667,3.46824,0,0,0,2,light purple
498,101,88,22.0,3.06059,0,0,0,2,light purple
499,190,188,40.0,3.46925,0,3,1,1,v.light purple
500,176,137,10.667,3.19026,0,0,0,1,v.light purple
501,60,48,16.667,5.03723,0,0,0,0,pink
502,120,92,62.667,4.02832,0,26,0,2,light purple
503,120,94,52.667,2.49562,0,16,0,2,light purple
504,543,529,53.333,3.2126,7,16,1,4,dark purple
505,151,125,56.0,3.4744,0,13,0,2,light purple
506,190,173,19.333,3.39416,0,3,0,1,v.light purple
507,60,48,15.333,3.9104,0,1,0,0,pink
508,120,96,16.667,3.55755,0,0,0,2,light purple
509,120,107,2.0,3.12691,0,0,0,2,light purple
510,280,235,68.667,3.68846,0,11,0,1,v.light purple
511,170,137,20.0,3.27366,0,0,0,1,v.light purple
