,Number of Certified Beds,Number of Residents in Certified Beds,Total Weighted Health Survey Score,Adjusted Total Nurse Staffing Hours per Resident per Day,Number of Facility Reported Incidents,Number of Substantiated Complaints,Total Number of Penalties,clusters,cluster
12439,69,61,10.0,3.98309,2,0,0,0,pink
12440,124,68,40.667,3.65379,0,0,1,2,light purple
12441,138,112,68.667,3.33635,0,3,0,2,light purple
12442,99,50,71.333,3.68513,0,7,1,0,pink
12443,66,60,10.0,3.00304,0,0,0,0,pink
12444,44,41,2.667,7.80694,0,0,0,0,pink
12445,123,91,48.0,3.97333,0,5,0,2,light purple
12446,222,105,112.667,2.92407,0,2,0,1,v.light purple
12447,163,89,6.667,3.52757,0,0,0,2,light purple
12448,120,88,78.667,4.12218,0,2,1,2,light purple
12449,172,109,220.0,3.14045,0,9,2,5,v.dark purple
12450,155,56,186.167,3.33363,0,6,1,5,v.dark purple
12451,201,87,55.333,3.07011,0,2,0,1,v.light purple
12452,75,68,14.667,2.97154,0,0,0,0,pink
12453,60,51,0.0,4.80129,0,0,0,0,pink
12454,112,52,98.667,4.36704,1,2,2,2,light purple
12455,100,90,90.0,3.98239,10,13,1,2,light purple
12456,60,60,18.667,2.85908,0,0,0,0,pink
12457,44,41,34.667,4.17369,0,0,0,0,pink
12458,95,73,20.667,3.40578,1,1,0,2,light purple
12459,60,32,25.333,4.23074,0,0,0,0,pink
12460,114,97,84.667,4.16784,0,6,1,2,light purple
12461,89,43,40.667,4.93594,0,0,1,0,pink
12462,124,73,68.0,4.72299,1,0,1,2,light purple
12463,106,64,28.667,3.24405,0,3,0,2,light purple
12464,116,90,74.0,4.00904,1,0,1,2,light purple
12465,134,42,64.0,4.65839,0,5,0,2,light purple
12466,106,51,94.667,3.64685,0,1,0,2,light purple
12467,120,78,80.0,3.53926,1,3,2,2,light purple
12468,114,103,97.333,3.92929,0,0,0,2,light purple
12469,76,51,80.667,4.36141,0,5,1,0,pink
12470,108,65,60.0,3.85488,0,5,3,2,light purple
12471,125,85,74.667,4.64589,2,4,2,2,light purple
12472,109,96,34.667,3.92014,0,0,0,2,light purple
12473,66,64,4.0,4.50071,0,0,0,0,pink
12474,120,67,45.333,4.32439,0,0,1,2,light purple
12475,30,30,24.0,3.53377,0,1,0,0,pink
12476,120,68,147.333,3.35357,0,11,3,5,v.dark purple
12477,120,64,83.333,4.02472,0,14,1,2,light purple
12478,184,115,112.167,4.63585,0,10,1,1,v.light purple
12479,104,72,88.667,2.88325,1,3,1,2,light purple
12480,56,47,20.0,3.60358,0,0,0,0,pink
12481,120,65,24.0,3.38355,0,0,0,2,light purple
12482,90,65,31.333,4.41696,0,0,0,2,light purple
12483,30,24,52.667,6.45017,0,0,1,0,pink
12484,180,153,204.5,4.25453,3,2,1,5,v.dark purple
12485,25,17,20.0,9.3253,0,0,0,0,pink
12486,38,31,20.667,3.20496,1,2,0,0,pink
12487,84,49,44.0,3.94163,0,3,0,0,pink
12488,120,51,71.667,3.783,0,7,0,2,light purple
12489,14,14,19.333,3.52346,0,0,1,0,pink
12490,120,63,88.667,3.70534,0,2,2,2,light purple
12491,116,40,37.333,2.66901,0,0,0,2,light purple
12492,97,97,160.667,3.00165,0,0,2,5,v.dark purple
12493,58,35,122.167,3.89641,0,0,2,5,v.dark purple
12494,115,103,91.167,4.41129,2,0,0,2,light purple
12495,111,105,107.333,2.75878,1,3,0,5,v.dark purple
12496,67,57,14.0,3.31611,0,1,1,0,pink
12497,114,72,167.333,3.85246,3,32,2,5,v.dark purple
12498,55,55,234.333,2.77134,0,0,1,5,v.dark purple
12499,70,63,2.0,3.49063,0,0,0,0,pink
12500,84,72,16.667,3.23999,1,0,0,0,pink
12501,11,8,0.0,6.71057,0,0,0,0,pink
12502,105,76,110.667,3.9599,2,4,1,5,v.dark purple
12503,143,83,109.0,3.49599,3,5,0,5,v.dark purple
12504,130,130,76.667,4.34873,0,0,0,2,light purple
12505,165,140,84.0,4.26195,3,7,2,1,v.light purple
12506,221,148,50.0,3.6562,0,5,0,1,v.light purple
12507,150,134,24.667,3.86006,0,2,0,1,v.light purple
12508,150,92,99.333,2.75814,2,9,1,2,light purple
12509,80,45,42.667,3.15749,0,0,0,0,pink
12510,34,34,63.667,4.2476,0,1,2,0,pink
12511,71,42,0.0,2.96064,0,0,0,0,pink
12512,53,43,13.333,5.69615,0,0,0,0,pink
12513,91,85,41.667,3.05316,0,4,2,2,light purple
12514,99,56,78.0,3.84168,0,7,2,2,light purple
12515,55,27,91.5,4.55076,0,8,1,0,pink
12516,66,65,23.333,3.63854,0,0,0,0,pink
12517,32,31,58.0,5.31335,0,1,0,0,pink
12518,120,55,869.667,3.52875,4,20,3,3,purple
12519,110,71,187.333,3.23735,1,8,1,5,v.dark purple
12520,21,41,85.333,3.18644,1,0,1,0,pink
12521,82,76,47.333,3.41843,0,1,0,2,light purple
12522,100,89,140.0,3.63309,1,3,0,5,v.dark purple
12523,99,94,159.333,3.48645,3,14,3,5,v.dark purple
12524,75,48,35.333,3.66101,0,0,0,0,pink
12525,120,77,33.333,3.30283,0,6,0,2,light purple
12526,75,61,92.0,3.69028,0,1,1,0,pink
12527,135,110,84.0,3.23516,0,3,0,2,light purple
12528,124,86,104.667,2.68444,0,2,0,5,v.dark purple
12529,60,33,32.0,3.42893,0,0,0,0,pink
12530,180,74,25.333,3.9048,0,3,0,2,light purple
12531,170,95,106.0,4.18281,2,3,0,2,light purple
12532,109,82,77.333,3.44044,1,0,2,2,light purple
12533,180,150,14.667,3.99727,0,1,0,1,v.light purple
12534,104,38,32.0,4.41501,0,0,2,0,pink
12535,97,99,44.333,2.79329,0,0,0,2,light purple
12536,139,88,48.0,3.29162,2,4,0,2,light purple
12537,90,79,33.333,3.80901,1,0,1,2,light purple
12538,60,24,50.667,2.86537,0,1,0,0,pink
12539,36,12,25.333,4.9446,0,0,0,0,pink
12540,90,96,100.0,3.03533,2,9,0,2,light purple
12541,100,100,68.0,3.0669,2,0,0,2,light purple
12542,124,58,51.333,4.85471,1,2,0,2,light purple
12543,161,48,94.667,4.60189,5,23,0,2,light purple
12544,204,104,17.333,2.81389,1,2,0,1,v.light purple
12545,120,82,78.667,3.4109,1,0,4,2,light purple
12546,115,77,84.833,4.77396,2,2,3,2,light purple
12547,150,85,182.667,3.5983,1,7,0,5,v.dark purple
12548,99,46,57.333,3.78043,1,0,0,0,pink
12549,28,18,16.0,6.44938,0,0,0,0,pink
12550,82,43,102.667,3.59529,1,7,0,0,pink
12551,102,65,54.667,3.46246,3,0,1,2,light purple
12552,240,149,47.333,3.51742,3,4,0,1,v.light purple
12553,150,116,16.0,3.69557,0,0,0,2,light purple
12554,126,92,52.0,3.02295,0,0,0,2,light purple
12555,169,144,106.667,3.07736,0,24,1,1,v.light purple
12556,150,71,202.0,3.42271,3,14,0,5,v.dark purple
12557,170,89,121.167,4.19656,0,1,2,5,v.dark purple
12558,104,29,46.0,3.28864,2,0,0,0,pink
12559,157,84,27.333,3.08639,0,0,1,2,light purple
12560,120,42,31.333,5.65717,0,1,0,2,light purple
12561,125,67,137.833,3.31182,1,8,3,5,v.dark purple
12562,130,98,112.333,3.29079,1,0,1,5,v.dark purple
12563,122,76,80.167,3.5102,3,4,1,2,light purple
12564,60,54,46.667,2.48783,0,2,0,0,pink
12565,146,82,40.667,3.60282,1,2,0,2,light purple
12566,140,140,180.0,3.17791,1,6,0,5,v.dark purple
12567,166,85,158.0,3.88843,1,3,1,5,v.dark purple
12568,132,132,78.667,3.30307,1,1,0,2,light purple
12569,330,129,500.333,3.87659,1,6,4,3,purple
12570,93,78,66.667,3.14223,1,1,0,2,light purple
12571,178,145,9.333,3.85561,0,1,0,1,v.light purple
12572,92,52,20.0,3.31895,1,0,0,0,pink
